node   1  (   0,    0) (   4,    3) (   5,    4) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   1,    1) (   3,    3) (   4,    4)
          (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1)
          (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1)
          (   2,    2) (   1,    1) (   4,    4) (   3,    3) (   2,    2) (   3,    3) (   2,    2) (   3,    3) (   3,    3) (   2,    2)
          (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   2,    2)
          (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1)
          (   5,    5) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   3,    3) (   2,    2) (   2,    2)
          (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   3,    3) (   2,    2)
          (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   4,    4) (   1,    1) (   2,    2) (   2,    2) (   3,    3)
          (   3,    3) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   3,    3)
          (   1,    1) (   2,    2) (   1,    0) (   1,    1) (   2,    2) (   1,    1) (   1,    0) (   2,    2) (   1,    0) (   1,    0)
          (   2,    2) (   1,    0) (   2,    2) (   2,    1) (   2,    2) (   1,    1) (   2,    1) (   1,    0) (   1,    0) (   1,    0)
          (   1,    0) (   2,    1) (   4,    4) (   2,    2) (   2,    1) (   1,    0) (   1,    0) (   1,    1) (   2,    2) (   2,    1)
          (   1,    1) (   3,    3) (   2,    2) (   3,    3) (   5,    5) (   1,    1) (   1,    1) (   2,    2) (   3,    3) (   2,    2)
